book_id,title,authors,average_rating,text
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) by C.S. Lewis"
38,The Time Traveler's Wife,Audrey Niffenegger,3.95,The Time Traveler's Wife by Audrey Niffenegger
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,"A Game of Thrones (A Song of Ice and Fire, #1) by George R.R. Martin"
40,"Eat, Pray, Love",Elizabeth Gilbert,3.51,"Eat, Pray, Love by Elizabeth Gilbert"
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,"The Lightning Thief (Percy Jackson and the Olympians, #1) by Rick Riordan"
42,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,"Little Women (Little Women, #1) by Louisa May Alcott"
43,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,"Jane Eyre by Charlotte Brontë, Michael Mason"
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,"The Notebook (The Notebook, #1) by Nicholas Sparks"
45,Life of Pi,Yann Martel,3.88,Life of Pi by Yann Martel
46,Water for Elephants,Sara Gruen,4.07,Water for Elephants by Sara Gruen
47,The Book Thief,Markus Zusak,4.36,The Book Thief by Markus Zusak
48,Fahrenheit 451,Ray Bradbury,3.97,Fahrenheit 451 by Ray Bradbury
49,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,"New Moon (Twilight, #2) by Stephenie Meyer"
50,Where the Sidewalk Ends,Shel Silverstein,4.29,Where the Sidewalk Ends by Shel Silverstein
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,"City of Bones (The Mortal Instruments, #1) by Cassandra Clare"
52,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,"Eclipse (Twilight, #3) by Stephenie Meyer"
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,"Eragon (The Inheritance Cycle, #1) by Christopher Paolini"
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams"
55,Brave New World,Aldous Huxley,3.97,Brave New World by Aldous Huxley
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,3.7,"Breaking Dawn (Twilight, #4) by Stephenie Meyer"
57,The Secret Life of Bees,Sue Monk Kidd,4.01,The Secret Life of Bees by Sue Monk Kidd
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,"The Adventures of Huckleberry Finn by Mark Twain, John Seelye, Guy Cardwell"
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,"Charlotte's Web by E.B. White, Garth Williams, Rosemary Wells"
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,The Curious Incident of the Dog in the Night-Time by Mark Haddon
61,The Girl on the Train,Paula Hawkins,3.88,The Girl on the Train by Paula Hawkins
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.94,"The Golden Compass (His Dark Materials, #1) by Philip Pullman"
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,"Wuthering Heights by Emily Brontë, Richard J. Dunn"
64,My Sister's Keeper,Jodi Picoult,4.06,My Sister's Keeper by Jodi Picoult
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.06,Slaughterhouse-Five by Kurt Vonnegut Jr.
66,Gone with the Wind,Margaret Mitchell,4.28,Gone with the Wind by Margaret Mitchell
67,A Thousand Splendid Suns,Khaled Hosseini,4.34,A Thousand Splendid Suns by Khaled Hosseini
68,The Perks of Being a Wallflower,Stephen Chbosky,4.21,The Perks of Being a Wallflower by Stephen Chbosky
69,"Insurgent (Divergent, #2)",Veronica Roth,4.07,"Insurgent (Divergent, #2) by Veronica Roth"
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,"Ender's Game (Ender's Saga, #1) by Orson Scott Card"
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,"Frankenstein by Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"
72,The Shining (The Shining #1),Stephen King,4.17,The Shining (The Shining #1) by Stephen King
73,"The Host (The Host, #1)",Stephenie Meyer,3.84,"The Host (The Host, #1) by Stephenie Meyer"
74,Looking for Alaska,John Green,4.09,Looking for Alaska by John Green
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,"Bridget Jones's Diary (Bridget Jones, #1) by Helen Fielding"
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,"Sense and Sensibility by Jane Austen, Tony Tanner, Ros Ballaster"
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",3.93,"Holes (Holes, #1) by Louis Sachar, Louis Sachar"
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.7,"The Devil Wears Prada (The Devil Wears Prada, #1) by Lauren Weisberger"
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,"The Odyssey by Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,"The Little Prince by Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta"
81,The Glass Castle,Jeannette Walls,4.24,The Glass Castle by Jeannette Walls
82,Into the Wild,Jon Krakauer,3.94,Into the Wild by Jon Krakauer
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,"A Tale of Two Cities by Charles Dickens, Richard Maxwell, Hablot Knight Browne"
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.96,"Jurassic Park (Jurassic Park, #1) by Michael Crichton"
85,The Giving Tree,Shel Silverstein,4.38,The Giving Tree by Shel Silverstein
86,A Time to Kill,John Grisham,4.03,A Time to Kill by John Grisham
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,"Night (The Night Trilogy #1) by Elie Wiesel, Marion Wiesel"
88,Paper Towns,John Green,3.88,Paper Towns by John Green
89,The Princess Bride ,William Goldman,4.25,The Princess Bride  by William Goldman
90,The Outsiders,S.E. Hinton,4.06,The Outsiders by S.E. Hinton
91,"The Maze Runner (Maze Runner, #1)",James Dashner,4.02,"The Maze Runner (Maze Runner, #1) by James Dashner"
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",3.93,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1) by Steven D. Levitt, Stephen J. Dubner"
93,The Secret Garden,Frances Hodgson Burnett,4.12,The Secret Garden by Frances Hodgson Burnett
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,"One Hundred Years of Solitude by Gabriel García Márquez, Gregory Rabassa"
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,"The Picture of Dorian Gray by Oscar Wilde, Jeffrey Eugenides"
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.88,"Fifty Shades Freed (Fifty Shades, #3) by E.L. James"
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,"Dracula by Bram Stoker, Nina Auerbach, David J. Skal"
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,"The Girl Who Played with Fire (Millennium, #2) by Stieg Larsson, Reg Keeland"
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.87,"Fifty Shades Darker (Fifty Shades, #2) by E.L. James"
100,The Poisonwood Bible,Barbara Kingsolver,4.02,The Poisonwood Bible by Barbara Kingsolver
101,Me Talk Pretty One Day,David Sedaris,3.97,Me Talk Pretty One Day by David Sedaris
102,Where the Wild Things Are,Maurice Sendak,4.22,Where the Wild Things Are by Maurice Sendak
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,"The Count of Monte Cristo by Alexandre Dumas, Robin Buss"
104,The Road,Cormac McCarthy,3.95,The Road by Cormac McCarthy
105,"Allegiant (Divergent, #3)",Veronica Roth,3.63,"Allegiant (Divergent, #3) by Veronica Roth"
106,Bossypants,Tina Fey,3.94,Bossypants by Tina Fey
107,A Walk to Remember,Nicholas Sparks,4.15,A Walk to Remember by Nicholas Sparks
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.61,"Confessions of a Shopaholic (Shopaholic, #1) by Sophie Kinsella"
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,"Les Misérables by Victor Hugo, Lee Fahnestock, Norman MacAfee"
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,"A Clash of Kings  (A Song of Ice and Fire, #2) by George R.R. Martin"
111,The Memory Keeper's Daughter,Kim Edwards,3.64,The Memory Keeper's Daughter by Kim Edwards
112,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,"Me Before You (Me Before You, #1) by Jojo Moyes"
113,Catch-22,Joseph Heller,3.98,Catch-22 by Joseph Heller
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,"Tuesdays with Morrie by Mitch Albom, Saulius Dagys"
115,Middlesex,Jeffrey Eugenides,3.98,Middlesex by Jeffrey Eugenides
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,"The Adventures of Tom Sawyer by Mark Twain, Guy Cardwell, John Seelye"
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1) by Madeleine L'Engle"
118,The Joy Luck Club,Amy Tan,3.9,The Joy Luck Club by Amy Tan
119,The Handmaid's Tale,Margaret Atwood,4.06,The Handmaid's Tale by Margaret Atwood
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.75,"The Sisterhood of the Traveling Pants (Sisterhood, #1) by Ann Brashares"
121,Lolita,"Vladimir Nabokov, Craig Raine",3.88,"Lolita by Vladimir Nabokov, Craig Raine"
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1) by Gregory Maguire, Douglas Smith"
123,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,"The Firm (Penguin Readers, Level 5) by John Grisham"
124,Room,Emma Donoghue,4.03,Room by Emma Donoghue
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,"Hamlet by William Shakespeare, Richard Andrews, Rex Gibson"
126,Dune (Dune Chronicles #1),Frank Herbert,4.19,Dune (Dune Chronicles #1) by Frank Herbert
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,The Tipping Point: How Little Things Can Make a Big Difference by Malcolm Gladwell
128,Steve Jobs,Walter Isaacson,4.09,Steve Jobs by Walter Isaacson
129,One Flew Over the Cuckoo's Nest,Ken Kesey,4.18,One Flew Over the Cuckoo's Nest by Ken Kesey
130,The Old Man and the Sea,Ernest Hemingway,3.73,The Old Man and the Sea by Ernest Hemingway
131,The Grapes of Wrath,John Steinbeck,3.92,The Grapes of Wrath by John Steinbeck
132,The Five People You Meet in Heaven,Mitch Albom,3.9,The Five People You Meet in Heaven by Mitch Albom
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.23,"Anne of Green Gables (Anne of Green Gables, #1) by L.M. Montgomery"
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,"City of Glass (The Mortal Instruments, #3) by Cassandra Clare"
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,"A Storm of Swords (A Song of Ice and Fire, #3) by George R.R. Martin"
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.79,Divine Secrets of the Ya-Ya Sisterhood by Rebecca Wells
137,"Outlander (Outlander, #1)",Diana Gabaldon,4.2,"Outlander (Outlander, #1) by Diana Gabaldon"
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,"The Scarlet Letter by Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,3.89,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1) by Ransom Riggs"
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",4.2,"The Girl Who Kicked the Hornet's Nest (Millennium, #3) by Stieg Larsson, Reg Keeland"
141,The Martian,Andy Weir,4.39,The Martian by Andy Weir
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,4.29,"The Pillars of the Earth (The Kingsbridge Series, #1) by Ken Follett"
143,All the Light We Cannot See,Anthony Doerr,4.31,All the Light We Cannot See by Anthony Doerr
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.4,"Unbroken: A World War II Story of Survival, Resilience, and Redemption by Laura Hillenbrand"
145,Deception Point,Dan Brown,3.67,Deception Point by Dan Brown
146,The Goldfinch,Donna Tartt,3.87,The Goldfinch by Donna Tartt
147,Thirteen Reasons Why,Jay Asher,4.02,Thirteen Reasons Why by Jay Asher
148,Girl with a Pearl Earring,Tracy Chevalier,3.85,Girl with a Pearl Earring by Tracy Chevalier
149,"If I Stay (If I Stay, #1)",Gayle Forman,3.96,"If I Stay (If I Stay, #1) by Gayle Forman"
150,The Red Tent,Anita Diamant,4.16,The Red Tent by Anita Diamant
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.23,"The Sea of Monsters (Percy Jackson and the Olympians, #2) by Rick Riordan"
152,Dear John,Nicholas Sparks,4.01,Dear John by Nicholas Sparks
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.21,"City of Ashes (The Mortal Instruments, #2) by Cassandra Clare"
154,Macbeth,William Shakespeare,3.88,Macbeth by William Shakespeare
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.42,"The Two Towers (The Lord of the Rings, #2) by J.R.R. Tolkien"
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.83,"Something Borrowed (Darcy & Rachel, #1) by Emily Giffin"
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",4.29,"Green Eggs and Ham by Dr. Seuss, לאה נאור"
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",4.1,"Charlie and the Chocolate Factory (Charlie Bucket, #1) by Roald Dahl, Quentin Blake"
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4) by Rick Riordan"
160,Great Expectations,Charles Dickens,3.75,Great Expectations by Charles Dickens
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.51,"The Return of the King (The Lord of the Rings, #3) by J.R.R. Tolkien"
162,The Stranger,"Albert Camus, Matthew    Ward",3.96,"The Stranger by Albert Camus, Matthew    Ward"
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.35,"The Lost Hero (The Heroes of Olympus, #1) by Rick Riordan"
164,Eleanor & Park,Rainbow Rowell,4.11,Eleanor & Park by Rainbow Rowell
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.1,"A Feast for Crows (A Song of Ice and Fire, #4) by George R.R. Martin"
166,"Matched (Matched, #1)",Ally Condie,3.68,"Matched (Matched, #1) by Ally Condie"
167,"American Gods (American Gods, #1)",Neil Gaiman,4.11,"American Gods (American Gods, #1) by Neil Gaiman"
168,The Stand,"Stephen King, Bernie Wrightson",4.34,"The Stand by Stephen King, Bernie Wrightson"
169,The Last Song,Nicholas Sparks,4.14,The Last Song by Nicholas Sparks
170,Digital Fortress,Dan Brown,3.6,Digital Fortress by Dan Brown
171,Emma,"Jane Austen, Fiona Stafford",3.99,"Emma by Jane Austen, Fiona Stafford"
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,"Anna Karenina by Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude"
173,A Clockwork Orange,Anthony Burgess,3.98,A Clockwork Orange by Anthony Burgess
174,The Shack,William Paul Young,3.74,The Shack by William Paul Young
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.5,"The Last Olympian (Percy Jackson and the Olympians, #5) by Rick Riordan"
176,It,Stephen King,4.18,It by Stephen King
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",4.18,"Crime and Punishment by Fyodor Dostoyevsky, David McDuff"
178,The Bell Jar,Sylvia Plath,3.98,The Bell Jar by Sylvia Plath
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.07,"Angela's Ashes (Frank McCourt, #1) by Frank McCourt"
180,Siddhartha,"Hermann Hesse, Hilda Rosner",3.99,"Siddhartha by Hermann Hesse, Hilda Rosner"
181,In Cold Blood,Truman Capote,4.05,In Cold Blood by Truman Capote
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",3.76,"Beautiful Creatures (Caster Chronicles, #1) by Kami Garcia, Margaret Stohl"
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,"Clockwork Angel (The Infernal Devices, #1) by Cassandra Clare"
184,Matilda,"Roald Dahl, Quentin Blake",4.29,"Matilda by Roald Dahl, Quentin Blake"
185,The Night Circus,Erin Morgenstern,4.03,The Night Circus by Erin Morgenstern
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.04,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9) by Philippa Gregory"
187,"Uglies (Uglies, #1)",Scott Westerfeld,3.86,"Uglies (Uglies, #1) by Scott Westerfeld"
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,"A Dance with Dragons (A Song of Ice and Fire, #5) by George R.R. Martin"
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.47,"The Lord of the Rings (The Lord of the Rings, #1-3) by J.R.R. Tolkien"
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.96,Wild: From Lost to Found on the Pacific Crest Trail by Cheryl Strayed
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",4.35,"Watchmen by Alan Moore, Dave Gibbons, John Higgins"
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.55,"The Name of the Wind (The Kingkiller Chronicle, #1) by Patrick Rothfuss"
193,Outliers: The Story of Success,Malcolm Gladwell,4.11,Outliers: The Story of Success by Malcolm Gladwell
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",3.46,"Moby-Dick or, The Whale by Herman Melville, Andrew Delbanco, Tom Quirk"
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.12,"The Guernsey Literary and Potato Peel Pie Society by Mary Ann Shaffer, Annie Barrows"
196,Fight Club,Chuck Palahniuk,4.2,Fight Club by Chuck Palahniuk
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,"Dead Until Dark (Sookie Stackhouse, #1) by Charlaine Harris"
198,The Color Purple,Alice Walker,4.17,The Color Purple by Alice Walker
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,Marley and Me: Life and Love With the World's Worst Dog by John Grogan
200,And Then There Were None,Agatha Christie,4.23,And Then There Were None by Agatha Christie
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.66,"The Lost Symbol (Robert Langdon, #3) by Dan Brown"
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,4.0,"Hush, Hush (Hush, Hush, #1) by Becca Fitzpatrick"
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.15,"Beautiful Disaster (Beautiful, #1) by Jamie McGuire"
204,A Christmas Carol,Charles Dickens,4.02,A Christmas Carol by Charles Dickens
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.97,"Interview with the Vampire (The Vampire Chronicles, #1) by Anne Rice"
206,"The Selection (The Selection, #1)",Kiera Cass,4.15,"The Selection (The Selection, #1) by Kiera Cass"
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,"One for the Money (Stephanie Plum, #1) by Janet Evanovich"
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.04,The Immortal Life of Henrietta Lacks by Rebecca Skloot
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,4.14,"The Silence of the Lambs  (Hannibal Lecter, #2) by Thomas Harris"
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.14,"Vampire Academy (Vampire Academy, #1) by Richelle Mead"
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.89,Blink: The Power of Thinking Without Thinking by Malcolm Gladwell
212,Atonement,Ian McEwan,3.88,Atonement by Ian McEwan
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",3.78,"The Metamorphosis by Franz Kafka, Stanley Corngold"
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.33,"The Titan's Curse (Percy Jackson and the Olympians, #3) by Rick Riordan"
215,Ready Player One,Ernest Cline,4.31,Ready Player One by Ernest Cline
216,The Art of Racing in the Rain,Garth Stein,4.19,The Art of Racing in the Rain by Garth Stein
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",3.98,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America by Erik Larson, Tony Goldwyn"
218,"Bared to You (Crossfire, #1)",Sylvia Day,4.19,"Bared to You (Crossfire, #1) by Sylvia Day"
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",4.24,"The Chronicles of Narnia (Chronicles of Narnia, #1-7) by C.S. Lewis, Pauline Baynes"
220,Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,4.23,Twilight: The Complete Illustrated Movie Companion by Mark Cotta Vaz
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,4.08,"A Child Called ""It"" (Dave Pelzer #1) by Dave Pelzer"
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,3.98,"The Bourne Identity (Jason Bourne, #1) by Robert Ludlum"
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.82,"Artemis Fowl (Artemis Fowl, #1) by Eoin Colfer"
224,"Fallen (Fallen, #1)",Lauren Kate,3.74,"Fallen (Fallen, #1) by Lauren Kate"
225,East of Eden,John Steinbeck,4.35,East of Eden by John Steinbeck
